# 회의 14 — 기업 AX를 위한 SW개발 전략

- 녹음: `recordings/14.bin`(webm/opus · 확장자만 bin)
- 시작(UTC): 2026-09-08 07:12:03.253374+00 · 상태: generating · 최종 회의록: running
- 실시간 전사 블록 35개 · 10155자 · 마지막 22:07
- AI 한 줄 요약: (없음)

> 실시간 STT(Soniox realtime)가 회의 중 확정한 블록 그대로. 종료 후 재전사(async)는 DB 에 덮어쓰이므로 최종 회의록이 나온 회의는 재전사본이다. `at_ms` 는 회의 시작 기준.

| # | 화자 | 시작 | 끝 | 내용 |
| 17 | 1 | 10:23 | 11:05 | 지웠다가, 잘못된 작업들이 계속 반복될 거고, 뭐, 어느 정도 완성이 됐겠지만, 결과적으로 보면 어떤 기준이 부족하거나, 이런 상황들이 만들어질 겁니다. 그래서, 어, 우리에게 개발부터 개발을 하기 위한 자료들은 차고 넘치죠. 문제는 이 개발 자료들을 연결하는 방식입니다. 연결하는 방식입니다. 문제는 정보량이 아니라, 연결과 구성을 통해서 AI가 단방향으로 해낼 수 있는 구성을 해내는 것이 필요합니다. 그래서 저희는 고민했습니다. 아, AI에게 수많은 데이터, 컨텍스트를 줄 필요는 없다. 단지 어떤 일을 해야 되는데, 작업 컨텍스트 |
| 18 | 1 | 11:05 | 11:40 | 를 명확하게 알려줄 필요가 있다. 작업 목적, 변경 대상, 범위 제약, 관련 사출물, 적용 기준, 이런 것들을 명확하게 만들어야 하고, 개발을 프로세스 상에서는 변경, 변경해야 되는 시스템이 어디고, 건드려야 되는 컴포넌트가 어디며, 이 정보들이 어떻게 연결이 돼 있고, 제약사 테스트 조건은 어떤 건지를 명확하게, 어, 진행해야 한다고 생각합니다. 이런 것들이 이어져서 제공이 될 때, AI 코드 에이전트는, 어, 스스로 그 일을 해낼 수 있는 것이죠. 사람이 할 수 있는 게 아니라. 그래서 저희는 이걸 구축하기 위해 AI 데스티니라는 |
| 19 | 1 | 11:40 | 12:19 | 개발 프로세스, 개발 플랫폼, 어, AI가 동경할 수 있는 어떤 실행 체계를 만들고 있습니다. 일을 해야 되는, 실행해야 되는 방식은 에이전트나 스킬로 정리하고, 어, 회사의 표준을 지켜야 되는 부분은, 어, 빌드로 제공하고, 그 관련된 정보는 컨텍스트로 저희는 구성을 하고 있고, 이런 것들을 통해서 어떤 요구사항과 업무 규칙, 설계 대상, 어, 테스트, 코드, 컴포넌트들의 한 방향으로 이어져서, 어떤 업무를 할 때 그 관련된 정보들을 제공하게 만들고 있습니다. 또한 이런 요구사항이 하나가 바뀌었을 때, 그거와 관련된 모든 데이터를 |
| 20 | 1 | 12:20 | 12:58 | , 어, 순차적으로 수정해서, AI가 갱신된 작업 이전의 정보를 활용해서 잘못 업무하는 것들을 뽑도록 하고 있습니다. 그렇기 때문에 사람은 모든 곳에 개입할 필요 없이, 첫, 끝, 큰 흐름만 보고 판단, 여기 있는 그림처럼 판단할 수 있기 때문에, 어, 모든 곳에 개입할 필요가 없습니다. 저희 테스트로는, 어, 개인에게 그냥 AI 툴을 하나 줬을 때보다, 이렇게 AI 데스티니처럼 AI 개발 체계를 줬을 때, 서버 생산성이 30% 이상, 어, 상승하는 거를 저희는 이제 테스트를 해봤습니다. 여기 중간에는 이런 것들로 구성돼 있습니다. |
| 21 | 1 | 12:59 | 13:42 | 산출물과 여러 가지 자료들이 공통 식별자로 관계 정보를 포함해서 연결되어 있고, 이런 정보들이 바뀔 때마다 버전과 권한을, 어, 함께 관리를 하며, 이런 정보들이 지식 구조화돼 있어서, 에이전트가 조회하거나 수정하거나 할 때 빠르게 이동할 수 있게, 어, 구성하고 있습니다. 네, 이렇게 구성한다고 해서 끝인가요? 대부분의 이제 개발 툴들만 있기 때문에, 여기에서 필요한 정보들은 대부분의 기업 내부의 시스템에 있습니다. 여기에서 더불어서 기업 고유의 정보들을 접속할 수 있는 또 다른 에이전트가, 대부분의 MCP를, 어, 말씀하실 텐데 |
| 22 | 1 | 13:42 | 14:19 | , MCP와 더불어서, 뭐, 어떤 API가 필요할 수도 있고, 아예 이 조회를 하는, 별도로 하는 시스템이 필요할 수도 있습니다. 다만 어느 정보가 최신 정보이고, 내가 어디까지 접속할 수 있고, 뭘로부터 이 정보를 접속할 수 있는지는 명확하게 알고 있어야 되겠죠. 이런 이제 기업 시스템을 접속할 수 있는 계층이 필요합니다. 그래서 저희 개발자들도 어떤 피처를 개발한다고 했을 때, 어떤 피처에 대한 개발을 하기보다는, 아, 피처에 대한 개발은 AI가 잘할 거니, 이런 기반 시스템을 만드는 것에 직접적으로 현재는, 어, 일을 하고 있 |
| 23 | 1 | 14:19 | 15:00 | 습니다. 그래서 개발자들의 방향도, 어, 이런 피처를 개발하기보다는, 에이전트가 잘하기 위한 구성 시스템을 만드는 걸로 많이 전환하고 있다라고 말씀드리겠습니다. 네, 이렇게 기업 내 시스템에 적극적으로 접속을 하게 되면, 보안 사고가 날 가능성이 높습니다. 과도한 권한을 갖고 있는, 어, 에이전트들이, 어, 볼륨, 프로젝트 볼륨을 지운다거나, 이런 사례들이 아주 많았습니다. 유명한 툴들에서 보안 이상 발생했죠. 그래서 저희도 이제 AI 툴이라는 코드 에이전트를 직접 만들면서, 이 AI 툴 자체만으로는 스스로 동작할 수 있는 코드 에 |
| 24 | 1 | 15:00 | 15:40 | 이전트입니다. 그래서 어떤 명령이든 자율적으로 수행하는데, 여기와는 또 다른 것은, 어떤 권한에서 실행해야 되는지, 실행 범위를 어떻게 될지, 그 실행한 결과들을 실시간으로 모니터링하고 검증하는, 이 이력서를 관리할 수 있는 거버넌스를 같이 패키지로 만들고 있고, 그걸 통해서 허용 가능한 부분은 그 내부에서 아주 자율적으로 접수, 실행하고, 승인이 필요한 부분, 금지돼야 되는 이 영역들을 함께 관리하고 있습니다. 네, 이렇게 되면은 이제 병목이 다 사라지고, 우리의 개발 프로세스는 엄청나게 좋아질까요? 안타깝게도 그렇지 못합니다. 예 |
| 25 | 1 | 15:40 | 16:22 | 를 들면, 단순히 테스트 결과라든지, 명확하게 잘못된 것들은 AI에게 자동 처리할 수 있겠지만, 어, 변경 영향 분석이라든지, 예외의 위험한 판단이라든지, 어떤 승인이나 책임이 이제 결정적으로 필요한 부분들은 여전히 사람이 해야 됩니다. 그래서 이런 사람의 판단이 필요한 계기가 점점 늘어나고 있습니다. 앞서서 말씀드렸다시피, 그런 일들이 뭐, 계속 발생하고 있기 때문에, 앞으로는 우리가 이 판단의 기준들을 계속 쌓고, 여기서 반복적인 패턴을 판단해서, 이것들을 룰로 바꿀 때는 룰, 룰로 정의하고, 어떤 개발하는 방식을 바꿀 때는 스 |
| 26 | 1 | 16:22 | 16:58 | 펙이나 이런 것들로 정의하고, 아니면 뭔가 시스템을 만들어야 되는, 툴을 만들어야 되는, 그런 형태제로 지속적으로 개선해 나가야지, 그런 봇 슬랙이었던, 병목이었던, 그런 영역들이 조금씩 사라질 겁니다. 근데 이런 작업들은 아쉽게도 AI가 스스로 해낼 수 없어집니다. 여기에는 개발과 운영의 흐름을 잘 알고, 내부 시스템과 데이터의 구조를 화사하게 알고 있으면, 이런 것들이 실제 현장에서 어떻게 동작하고, 시스템 내에서 동작하는지 잘 알고 있는 전문가 집단이 필요했습니다. 뭐, 여러분도 어느 정도 아시겠지만, 이런 FDE라는 역할이, |
| 27 | 1 | 16:58 | 17:36 | 이 개발 체계 프로세스에서도 필요한 역할이었습니다. 유일하게 다른 것들은 다 시스템을 통해서 가능했지만, 이 영역은 사람이 필요한 영역입니다. 그래서 저희 개발자들도 여기에 점점 더, 어, 공력하는, 어, 모양새를 보이고 있습니다. 그렇습니다. 어, 제가 말씀드린 거는, 모델과 환경을 적절하게 만들어야 된다. 그리고 AI에게 좋은 데이터를 줄 수 있어야 되고, AI 중심의 개발 프로세스를 만들어야 되고, 그거를 통해서 기업의 시스템에 직접적으로 접속하게 되고, 기업의 시스템에 접속해야 되기 때문에, 그거에 대한 권한과 통제가 가능해 |
| 28 | 1 | 17:36 | 18:13 | 야 되며, 이런 것들을 지속적으로, 어, 지속적으로 관찰하면서 개선해 나가야 된다라는 말씀을 드렸습니다. 저희는 이걸 토크노믹스라는 이름으로 하나로 뭉치려고 하고 있습니다. AI 툴이라는 코드 에이전트에, 어, 거버넌스 기능을 익혀서 통제와 권한을 주려고 하고 있고요. AI DLC라는 AI 기반 개발 방법론, AI가 동작할 수 있는 개발 방법론에 어떻게 하면 컨텍스트를 구성할 수 있는지에 대한 체계, 그리고 프로세스, 그런 에셋들을 만들려고 하고 있고, 애니 프레임이라는, 이게 예전에는 전통적인 금융 프레임워크였지만, 회사에 있는 자 |
| 29 | 1 | 18:13 | 18:50 | 산들을 프레임워크해서 AI한테 제공하는 그런 체계를 만들려고 하고 있습니다. 단순히 이 세 가지가 그냥 엮여 있다가 아니라, 개발 흐름 전반에서 같이 유연하게 연결되어서 운영되고 있다가 아주 핵심적인 부분이고요. 개발 전 과정을 이걸 통해 연결하고, 이 데이터 기반으로 지속적으로 개선하는, 이런 작업들을 하기 위해서, 어, 저희가 이 토크노믹스라는 거를 만들어낸 것입니다. 어, 제가 이제 똑똑해가지고 애초부터 이걸 해야 되겠다라고 생각한 건 아니고, 하다 보니까 점점 이런 게 없으면 더 이상 이제 힘을 안 나겠다라는 생각이 들더라고 |
| 30 | 1 | 18:50 | 19:02 | 요. 아까 말씀드렸던 그 병목, 데이터의 부족, 이런 것들이 결국에는 점점 하나의 코드 에이전트에서 개발 플랫폼, 개발 플랫폼화되는 것들을 저는 느꼈습니다. |
| 31 | 1 | 19:04 | 19:42 | 그렇습니다. 이제 개발 에이전트를 한번 살펴봤을 때요. 개발 체계를 어떻게 바꿀 것이냐, 기술을 어떻게 적용할 것이냐를 봤는데, 이게 과연 기업의 AX와 다른 걸까요? 자, 예전에 이제 LLM AI 에이전트 도입하면서, 모델을 활용하거나, 업무를 실행하거나, 이거 가지고 시범 적용하는 이런 일들을 했었죠. 이제는 바뀌어야 합니다. 적극적으로 AI가 할 수 있는 프로세스로 전환을 해야 되고, AI가 이해할 수 있는 데이터를 적극적으로 모아서 맥락을 만들고, 기업 시스템에 연결할 수 있어야 되고, 거기에 맞는 권한과 검증, 운영 체계를 |
| 32 | 1 | 19:43 | 20:28 | 만들어야지만, 진정한 의미의 업무 변화가 있을 수 있고, 업무 효율 향상이 이루어지게 됩니다. 기업 AX를 말씀드리기 앞서서, 어, 예전에 DX도 다양한 자동화, 효율화가 있었지만, AX 관점에서는 어떻게 말하든 기업 AX는 소프트웨어가 해야 합니다. 그렇기 때문에 그 소프트웨어는 AI가 일하는 업무 시스템인 거고, 그 업무 시스템을 만드는 거는 이러한 모델 환경과 프로세스, 실행 하네스, 지속 성장, 이런 컨셉으로 만들어질 수밖에 없습니다. 이 네 가지 컨셉을 저희가 개발 체계를 만들어서 사용하고 있습니다. 기업 AX를 하는 것도 |
| 33 | 1 | 20:28 | 21:09 | 좋지 않습니까? 여러분들도 그냥 막연하게 큰 업무에서 이걸 적용하겠지만은, 내가 인접한 애들, 혹시 개발자, 개발팀이라면, 내 개발 프로세스를 어떻게 바꿀 것이냐 이거죠. 이 감정으로 접근하다 보면, 자연스럽게 AI가 일하는 업무 시스템으로 전환되어 있는 추세를 볼 수 있고, 이걸, 이거로부터 시작해서 전체적으로 기업에 있는 시스템이 바뀌고 있는 모습들을 볼 수 있습니다. 저희 회사에서, 어, 코드 에이전트로 시작해서, 이제는 점점 기업 AX 관점으로 다양하게 바뀌고 있습니다. 이런 코드 에이전트가 적용됐지만, 점점 잘리지, 서버, |
| 34 | 1 | 21:09 | 21:47 | 온콜리지, 다양한 시스템들이 갖춰지고, 이거와 접속하기 위한 기존 데이터들, 정비하기 위한 작업들, 이런 것들이 순차적으로 이루어지고 있습니다. 그래서 기업 AX를 너무 거창하게 다양하게 보시기보다는, 하나의 업무를 어떻게 잘 해내고, 거기서 병목을 줄일 것이냐라는 이런 개발 관점의, 어, 어프로치를 적용해 보신다면, 어, 여러분들도 생각보다 쉽게 기업 AX를 적용하실 수 있지 않겠나 생각하고요. 어, 저는 이제 소프트웨어 엔지니어링하고 아키텍처보다는 이런 개발 플랫폼을 다루고 있는데, 어, 이걸 한번 경험해 보니까, 어떤 회사의 기 |
| 35 | 1 | 21:47 | 22:07 | 업 AX 컨설팅을 해야 된다라면 훨씬 더 자신감 있게 할 수 있겠다라는, 어, 생각이 들더라고요. 그래서 여러분들도 지금 제가 짧게나마 설명드린 이걸 근간으로 해가지고, 용기를 갖고, 앞으로 AI를 갖고 좀 더 편한 세상을 만들어 갈 수 있으면 좋겠습니다. 이상입니다. 감사합니다. |
